,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3387,"Plano, IL",Plano,IL,11886,Plano,1016775,Illinois,IL,"Chicago, IL",602
3388,"Plano, TX",Plano,TX,267480,Plano,1026695,Texas,TX,"Dallas-Ft. Worth, TX",623
3389,"Plant City, FL",Plant City,FL,32761,Plant City,1015172,Florida,FL,"Tampa-St Petersburg (Sarasota), FL",539
3390,"Plantation, FL",Plantation,FL,83628,Plantation,9052682,Florida,FL,"Miami-Ft. Lauderdale, FL",528
3391,"Plaquemine, LA",Plaquemine,LA,6751,Plaquemine,1018046,Louisiana,LA,"Baton Rouge, LA",716
3392,"Platte City, MO",Platte City,MO,4806,Platte City,1020549,Missouri,MO,"Kansas City, MO",616
3393,"Platteville, WI",Platteville,WI,10297,Platteville,1028156,Wisconsin,WI,"Madison, WI",669
3394,"Plattsburgh, NY",Plattsburgh,NY,19393,Plattsburgh,1023270,New York,NY,"Burlington, VT-Plattsburgh, NY",523
3395,"Plattsmouth, NE",Plattsmouth,NE,6902,Plattsmouth,1021736,Nebraska,NE,"Omaha, NE",652
3396,"Pleasant Garden, NC",Pleasant Garden,NC,5229,Pleasant Garden,1021269,North Carolina,NC,"Greensboro-High Point-Winston Salem, NC",518
3397,"Pleasant Grove, AL",Pleasant Grove,AL,10254,Pleasant Grove,1013104,Alabama,AL,"Birmingham, AL",630
3398,"Pleasant Grove, UT",Pleasant Grove,UT,33798,Pleasant Grove,1026977,Utah,UT,"Salt Lake City, UT",770
3399,"Pleasant Hill, CA",Pleasant Hill,CA,32862,Pleasant Hill,1014148,California,CA,"San Francisco-Oakland-San Jose, CA",807
3400,"Pleasant Hill, IA",Pleasant Hill,IA,8414,Pleasant Hill,9052684,Iowa,IA,"Des Moines-Ames, IA",679
3401,"Pleasant Hill, MO",Pleasant Hill,MO,7178,Pleasant Hill,1020551,Missouri,MO,"Kansas City, MO",616
3402,"Pleasant Hills, PA",Pleasant Hills,PA,7751,Pleasant Hills,9052685,Pennsylvania,PA,"Pittsburgh, PA",508
3403,"Pleasant Prairie, WI",Pleasant Prairie,WI,19847,Pleasant Prairie,1028157,Wisconsin,WI,"Milwaukee, WI",617
