"","DMA","scores","sd","count","Region","date"
"41",540,0.18,0.39,13,"Traverse City-Cadillac, MI",2015-06-24 17:22:17
"42",541,0.15,0.68,42,"Lexington, KY",2015-06-24 17:22:17
"43",542,0.02,1.03,107,"Dayton, OH",2015-06-24 17:22:17
"44",543,0.1,1.09,43,"Springfield-Holyoke, MA",2015-06-24 17:22:17
"45",544,0.07,0.72,269,"Norfolk-Portsmouth-Newport News,VA",2015-06-24 17:22:17
"46",545,0.1,0.81,58,"Greenville-New Bern-Washington, NC",2015-06-24 17:22:17
"47",546,0.13,0.64,44,"Columbia, SC",2015-06-24 17:22:17
"48",547,0.04,0.8,112,"Toledo, OH",2015-06-24 17:22:17
"49",548,0.07,0.6,170,"West Palm Beach-Ft. Pierce, FL",2015-06-24 17:22:17
"50",549,0,0,2,"Watertown, NY",2015-06-24 17:22:17
"51",550,0.2,0.69,12,"Wilmington, NC",2015-06-24 17:22:17
"52",551,-0.04,0.62,70,"Lansing, MI",2015-06-24 17:22:17
"53",552,0,NA,1,"Presque Isle, ME",2015-06-24 17:22:17
"54",553,-0.8,1.13,2,"Marquette, MI",2015-06-24 17:22:17
"55",554,-0.17,0.58,12,"Wheeling, WV-Steubenville, OH",2015-06-24 17:22:17
"56",555,-0.18,0.81,49,"Syracuse, NY",2015-06-24 17:22:17
"57",556,0.03,0.76,59,"Richmond-Petersburg, VA",2015-06-24 17:22:17
"58",557,0.17,0.63,115,"Knoxville, TN",2015-06-24 17:22:17
"59",558,0.31,0.48,9,"Lima, OH",2015-06-24 17:22:17
"60",559,0.46,0.99,14,"Bluefield-Beckley-Oak Hill, WV",2015-06-24 17:22:17
"61",560,0.13,0.88,293,"Raleigh-Durham (Fayetteville), NC",2015-06-24 17:22:17
"62",561,-0.04,0.59,39,"Jacksonville, FL",2015-06-24 17:22:17
"63",563,0,0.83,153,"Grand Rapids-Kalamazoo-Battle Creek, MI",2015-06-24 17:22:17
"64",564,-0.05,1,56,"Charleston-Huntington, WV",2015-06-24 17:22:17
"65",565,-0.13,0.66,18,"Elmira, NY",2015-06-24 17:22:17
"66",566,0.2,0.64,45,"Harrisburg-Lancaster-Lebanon-York, PA",2015-06-24 17:22:17
"67",567,0.09,0.82,76,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",2015-06-24 17:22:17
"68",569,0.4,0.64,12,"Harrisonburg, VA",2015-06-24 17:22:17
"69",570,0.05,0.79,79,"Florence-Myrtle Beach, SC",2015-06-24 17:22:17
"70",571,0.19,0.59,60,"Ft. Myers-Naples, FL",2015-06-24 17:22:17
"71",573,-0.01,0.81,51,"Roanoke-Lynchburg, VA",2015-06-24 17:22:17
"72",574,-0.4,0.8,9,"Johnstown-Altoona, PA",2015-06-24 17:22:17
"73",575,0.04,0.69,54,"Chattanooga, TN",2015-06-24 17:22:17
"74",576,0.16,1.09,35,"Salisbury, MD",2015-06-24 17:22:17
