"","DMA","scores","sd","count","Region","date"
"92",628,0.33,3.03,12,"Monroe, LA-El Dorado, AR","Tue Jun 30 23:21:29 2015"
"93",630,-0.33,2.13,49,"Birmingham, AL","Tue Jun 30 23:21:29 2015"
"94",632,-0.4,1.82,5,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL","Tue Jun 30 23:21:29 2015"
"95",633,0.5,1.22,6,"Odessa-Midland, TX","Tue Jun 30 23:21:29 2015"
"96",634,0,2.19,6,"Amarillo, TX","Tue Jun 30 23:21:29 2015"
"97",635,0.16,1.99,63,"Austin, TX","Tue Jun 30 23:21:29 2015"
"98",636,0.25,1.91,85,"Harlingen-Weslaco-Brownsville-McAllen, TX","Tue Jun 30 23:21:29 2015"
"99",637,0.86,1.21,7,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA","Tue Jun 30 23:21:29 2015"
"100",639,-0.2,0.45,5,"Jackson, TN","Tue Jun 30 23:21:29 2015"
"101",640,-0.11,2.54,36,"Memphis, TN","Tue Jun 30 23:21:29 2015"
"102",641,-0.33,2.37,129,"San Antonio, TX","Tue Jun 30 23:21:29 2015"
"103",642,-0.55,1.47,22,"Lafayette, LA","Tue Jun 30 23:21:29 2015"
"104",643,0,NA,1,"Lake Charles, LA","Tue Jun 30 23:21:29 2015"
"105",644,-0.17,2.23,6,"Alexandria, LA","Tue Jun 30 23:21:29 2015"
"106",648,1,1.6,8,"Champaign & Springfield-Decatur,IL","Tue Jun 30 23:21:29 2015"
"107",649,0,2,7,"Evansville, IN","Tue Jun 30 23:21:29 2015"
"108",650,0.22,1.95,51,"Oklahoma City, OK","Tue Jun 30 23:21:29 2015"
"109",651,0.55,1.37,11,"Lubbock, TX","Tue Jun 30 23:21:29 2015"
"110",652,-0.68,2.91,19,"Omaha, NE","Tue Jun 30 23:21:29 2015"
"111",656,0.5,1.22,6,"Panama City, FL","Tue Jun 30 23:21:29 2015"
"112",657,0.75,1.5,4,"Sherman, TX-Ada, OK","Tue Jun 30 23:21:29 2015"
"113",658,-0.12,1.64,8,"Green Bay-Appleton, WI","Tue Jun 30 23:21:29 2015"
"114",659,-0.94,3.51,49,"Nashville, TN","Tue Jun 30 23:21:29 2015"
"115",661,-0.25,0.5,4,"San Angelo, TX","Tue Jun 30 23:21:29 2015"
"116",662,0.33,2.52,3,"Abilene-Sweetwater, TX","Tue Jun 30 23:21:29 2015"
"117",669,1.5,3.39,6,"Madison, WI","Tue Jun 30 23:21:29 2015"
"118",670,0.5,0.71,2,"Ft. Smith-Fayetteville-Springdale-Rogers, AR","Tue Jun 30 23:21:29 2015"
"119",671,0.04,0.78,53,"Tulsa, OK","Tue Jun 30 23:21:29 2015"
"120",673,0,NA,1,"Columbus-Tupelo-West Point, MS","Tue Jun 30 23:21:29 2015"
"121",675,0.44,2.13,9,"Peoria-Bloomington, IL","Tue Jun 30 23:21:29 2015"
"122",676,-3,4.24,2,"Duluth, MN-Superior, WI","Tue Jun 30 23:21:29 2015"
"123",678,-0.52,1.48,25,"Wichita-Hutchinson, KS","Tue Jun 30 23:21:29 2015"
"124",679,-0.72,2.8,18,"Des Moines-Ames, IA","Tue Jun 30 23:21:29 2015"
"125",682,-0.5,1,12,"Davenport,IA-Rock Island-Moline,IL","Tue Jun 30 23:21:29 2015"
"126",686,-0.03,1.83,30,"Mobile, AL-Pensacola (Ft. Walton Beach), FL","Tue Jun 30 23:21:29 2015"
"127",687,-4,5.66,2,"Minot-Bismarck-Dickinson(Williston), ND","Tue Jun 30 23:21:29 2015"
"128",691,0.25,1.24,16,"Huntsville-Decatur (Florence), AL","Tue Jun 30 23:21:29 2015"
"129",692,-0.69,2.44,16,"Beaumont-Port Arthur, TX","Tue Jun 30 23:21:29 2015"
"130",693,-0.29,0.86,24,"Little Rock-Pine Bluff, AR","Tue Jun 30 23:21:29 2015"
"131",698,-0.21,1.89,14,"Montgomery (Selma), AL","Tue Jun 30 23:21:29 2015"
"132",709,0.08,0.67,12,"Tyler-Longview(Lufkin & Nacogdoches), TX","Tue Jun 30 23:21:29 2015"
"133",710,-5,5.29,3,"Hattiesburg-Laurel, MS","Tue Jun 30 23:21:29 2015"
"134",716,-0.42,3.74,26,"Baton Rouge, LA","Tue Jun 30 23:21:29 2015"
"135",717,0.5,0.71,2,"Quincy, IL-Hannibal, MO-Keokuk, IA","Tue Jun 30 23:21:29 2015"
"136",718,-1.64,3.34,14,"Jackson, MS","Tue Jun 30 23:21:29 2015"
"137",722,0.75,1.5,4,"Lincoln & Hastings-Kearney, NE","Tue Jun 30 23:21:29 2015"
"138",724,0.75,2.19,8,"Fargo-Valley City, ND","Tue Jun 30 23:21:29 2015"
"139",725,0,NA,1,"Sioux Falls(Mitchell), SD","Tue Jun 30 23:21:29 2015"
"140",734,0,NA,1,"Jonesboro, AR","Tue Jun 30 23:21:29 2015"
"141",736,0,5.66,2,"Bowling Green, KY","Tue Jun 30 23:21:29 2015"
"142",737,2.5,3.54,2,"Mankato, MN","Tue Jun 30 23:21:29 2015"
"143",740,0,NA,1,"North Platte, NE","Tue Jun 30 23:21:29 2015"
"144",746,2,NA,1,"Biloxi-Gulfport, MS","Tue Jun 30 23:21:29 2015"
